CompanyID,CompanyName,Industry,Country,CompanySize,AcquisitionChannel,SignupDateKey
198,Company_198,Logistics,UK,SMB,Partner,20240401
199,Company_199,FinTech,USA,SMB,Partner,20231201
200,Company_200,FinTech,Egypt,SMB,Paid Ads,20230701
201,Company_201,Logistics,Germany,Mid-Market,Outbound Sales,20231001
202,Company_202,HealthTech,UAE,SMB,Partner,20230901
203,Company_203,EdTech,USA,Mid-Market,Referral,20240101
204,Company_204,EdTech,USA,Mid-Market,Outbound Sales,20220401
205,Company_205,EdTech,USA,Mid-Market,Paid Ads,20240701
206,Company_206,EdTech,USA,SMB,Partner,20220201
207,Company_207,E-commerce,USA,SMB,Partner,20230201
208,Company_208,HealthTech,Germany,SMB,Outbound Sales,20230101
209,Company_209,Logistics,Egypt,SMB,Referral,20250201
210,Company_210,Logistics,Egypt,Mid-Market,Paid Ads,20250801
211,Company_211,E-commerce,UAE,Mid-Market,Outbound Sales,20220301
212,Company_212,EdTech,Egypt,SMB,Outbound Sales,20250101
213,Company_213,HealthTech,Germany,Mid-Market,Organic,20221101
214,Company_214,EdTech,Egypt,Enterprise,Paid Ads,20230601
215,Company_215,HealthTech,USA,SMB,Partner,20220401
216,Company_216,E-commerce,UK,Mid-Market,Partner,20240501
217,Company_217,HealthTech,UK,SMB,Outbound Sales,20221001
218,Company_218,EdTech,UAE,Enterprise,Organic,20220701
219,Company_219,HealthTech,UAE,Mid-Market,Paid Ads,20230801
220,Company_220,FinTech,Egypt,Mid-Market,Organic,20230501
221,Company_221,Logistics,UK,Mid-Market,Partner,20240601
222,Company_222,EdTech,USA,SMB,Referral,20221201
223,Company_223,FinTech,Germany,SMB,Organic,20221101
224,Company_224,FinTech,UK,SMB,Outbound Sales,20231001
225,Company_225,E-commerce,Egypt,Mid-Market,Paid Ads,20230701
226,Company_226,Logistics,UAE,SMB,Paid Ads,20250901
227,Company_227,E-commerce,Germany,Mid-Market,Organic,20230401
228,Company_228,FinTech,UK,SMB,Organic,20240501
229,Company_229,FinTech,Germany,SMB,Partner,20230401
230,Company_230,FinTech,UK,SMB,Partner,20240901
231,Company_231,EdTech,UAE,Mid-Market,Partner,20240901
232,Company_232,HealthTech,UK,Mid-Market,Paid Ads,20220101
233,Company_233,FinTech,USA,Mid-Market,Organic,20251201
234,Company_234,Logistics,UAE,SMB,Outbound Sales,20230401
235,Company_235,E-commerce,Germany,Enterprise,Organic,20230501
236,Company_236,EdTech,UAE,SMB,Referral,20240801
237,Company_237,Logistics,USA,Enterprise,Paid Ads,20230901
238,Company_238,Logistics,UK,SMB,Paid Ads,20230901
239,Company_239,FinTech,USA,SMB,Referral,20250301
240,Company_240,HealthTech,Germany,SMB,Referral,20250401
241,Company_241,E-commerce,USA,Mid-Market,Partner,20220601
242,Company_242,HealthTech,UAE,SMB,Referral,20241101
243,Company_243,FinTech,UK,SMB,Referral,20230201
244,Company_244,EdTech,Egypt,SMB,Referral,20241101
245,Company_245,Logistics,UK,SMB,Paid Ads,20240101
246,Company_246,E-commerce,Egypt,SMB,Paid Ads,20241001
247,Company_247,FinTech,Egypt,Enterprise,Organic,20250501
248,Company_248,E-commerce,Germany,SMB,Referral,20220801
249,Company_249,FinTech,Germany,Enterprise,Partner,20220701
250,Company_250,EdTech,Egypt,SMB,Organic,20251001
