SubscriptionID,CompanyID,PlanID,SnapshotDateKey,ActiveUsers,MRR_Amount,IsActive,IsChurned,IsUpgrade,IsDowngrade,DateKey,FullDate
34,4,1,20250501,32,209,1,0,0,0,20250501,2025-05-01
35,4,1,20250601,100,549,1,0,0,0,20250601,2025-06-01
36,4,1,20250701,96,529,1,0,0,0,20250701,2025-07-01
37,4,1,20250801,23,164,1,0,0,0,20250801,2025-08-01
38,4,1,20250901,86,479,1,0,0,0,20250901,2025-09-01
39,4,1,20251001,62,359,1,0,0,0,20251001,2025-10-01
40,4,1,20251101,88,489,1,0,0,0,20251101,2025-11-01
41,4,1,20251201,69,394,1,0,0,0,20251201,2025-12-01
42,4,1,20260101,26,179,1,0,0,0,20260101,2026-01-01
43,4,1,20260201,77,434,1,0,0,0,20260201,2026-02-01
44,4,2,20260301,51,609,1,0,1,0,20260301,2026-03-01
45,4,2,20260401,66,759,1,0,0,0,20260401,2026-04-01
46,4,2,20260501,42,519,1,0,0,0,20260501,2026-05-01
47,4,2,20260601,36,459,1,0,0,0,20260601,2026-06-01
48,4,2,20260701,83,929,1,0,0,0,20260701,2026-07-01
49,4,2,20260801,82,919,1,0,0,0,20260801,2026-08-01
50,4,2,20260901,91,1009,1,0,0,0,20260901,2026-09-01
51,4,2,20261001,79,889,1,0,0,0,20261001,2026-10-01
52,4,2,20261101,46,559,1,0,0,0,20261101,2026-11-01
53,4,2,20261201,47,569,1,0,0,0,20261201,2026-12-01
54,5,1,20230901,40,249,1,0,0,0,20230901,2023-09-01
55,5,1,20231001,94,519,1,0,0,0,20231001,2023-10-01
56,5,1,20231101,86,479,1,0,0,0,20231101,2023-11-01
57,5,1,20231201,58,339,1,0,0,0,20231201,2023-12-01
58,5,1,20240101,54,319,1,0,0,0,20240101,2024-01-01
59,5,1,20240201,20,149,1,0,0,0,20240201,2024-02-01
60,5,1,20240301,47,284,1,0,0,0,20240301,2024-03-01
61,5,1,20240401,49,294,1,0,0,0,20240401,2024-04-01
62,5,1,20240501,51,304,1,0,0,0,20240501,2024-05-01
63,5,1,20240601,36,229,1,0,0,0,20240601,2024-06-01
64,5,1,20240701,75,424,1,0,0,0,20240701,2024-07-01
65,5,1,20240801,44,269,1,0,0,0,20240801,2024-08-01
66,5,1,20240901,49,294,1,0,0,0,20240901,2024-09-01
67,5,1,20241001,94,519,1,0,0,0,20241001,2024-10-01
68,5,1,20241101,75,424,1,0,0,0,20241101,2024-11-01
69,5,1,20241201,92,509,1,0,0,0,20241201,2024-12-01
70,5,1,20250101,84,469,1,0,0,0,20250101,2025-01-01
71,5,1,20250201,61,354,0,1,0,0,20250201,2025-02-01
72,6,1,20240501,9,94,1,0,0,0,20240501,2024-05-01
73,6,1,20240601,7,84,1,0,0,0,20240601,2024-06-01
74,6,1,20240701,12,109,1,0,0,0,20240701,2024-07-01
75,6,1,20240801,20,149,0,1,0,0,20240801,2024-08-01
76,7,1,20220801,23,164,1,0,0,0,20220801,2022-08-01
77,7,1,20220901,24,169,1,0,0,0,20220901,2022-09-01
78,7,1,20221001,73,414,1,0,0,0,20221001,2022-10-01
79,7,1,20221101,33,214,1,0,0,0,20221101,2022-11-01
80,7,1,20221201,51,304,1,0,0,0,20221201,2022-12-01
81,7,1,20230101,33,214,1,0,0,0,20230101,2023-01-01
82,7,1,20230201,30,199,1,0,0,0,20230201,2023-02-01
83,7,1,20230301,90,499,1,0,0,0,20230301,2023-03-01
84,7,1,20230401,36,229,1,0,0,0,20230401,2023-04-01
85,7,2,20230501,60,699,1,0,1,0,20230501,2023-05-01
86,7,2,20230601,70,799,1,0,0,0,20230601,2023-06-01
87,7,3,20230701,55,1299,1,0,1,0,20230701,2023-07-01
88,7,3,20230801,99,2179,1,0,0,0,20230801,2023-08-01
89,7,3,20230901,90,1999,1,0,0,0,20230901,2023-09-01
90,7,3,20231001,49,1179,1,0,0,0,20231001,2023-10-01
91,7,3,20231101,50,1199,1,0,0,0,20231101,2023-11-01
92,7,3,20231201,25,699,1,0,0,0,20231201,2023-12-01
93,7,3,20240101,40,999,0,1,0,0,20240101,2024-01-01
94,8,1,20221001,7,84,1,0,0,0,20221001,2022-10-01
95,8,1,20221101,8,89,1,0,0,0,20221101,2022-11-01
96,8,1,20221201,12,109,1,0,0,0,20221201,2022-12-01
97,8,1,20230101,9,94,1,0,0,0,20230101,2023-01-01
98,8,1,20230201,17,134,1,0,0,0,20230201,2023-02-01
99,8,1,20230301,16,129,1,0,0,0,20230301,2023-03-01
100,8,1,20230401,15,124,1,0,0,0,20230401,2023-04-01
101,8,1,20230501,6,79,1,0,0,0,20230501,2023-05-01
102,8,1,20230601,17,134,1,0,0,0,20230601,2023-06-01
103,8,1,20230701,6,79,1,0,0,0,20230701,2023-07-01
104,8,1,20230801,8,89,1,0,0,0,20230801,2023-08-01
105,8,1,20230901,5,74,1,0,0,0,20230901,2023-09-01
106,8,1,20231001,19,144,1,0,0,0,20231001,2023-10-01
107,8,1,20231101,19,144,1,0,0,0,20231101,2023-11-01
108,8,1,20231201,8,89,1,0,0,0,20231201,2023-12-01
109,8,1,20240101,17,134,1,0,0,0,20240101,2024-01-01
110,8,1,20240201,6,79,1,0,0,0,20240201,2024-02-01
111,8,1,20240301,12,109,1,0,0,0,20240301,2024-03-01
112,8,1,20240401,9,94,1,0,0,0,20240401,2024-04-01
113,8,1,20240501,10,99,1,0,0,0,20240501,2024-05-01
114,8,1,20240601,5,74,1,0,0,0,20240601,2024-06-01
115,8,1,20240701,14,119,1,0,0,0,20240701,2024-07-01
116,8,1,20240801,14,119,1,0,0,0,20240801,2024-08-01
117,8,1,20240901,9,94,1,0,0,0,20240901,2024-09-01
118,8,1,20241001,5,74,1,0,0,0,20241001,2024-10-01
119,8,2,20241101,12,219,1,0,1,0,20241101,2024-11-01
120,8,2,20241201,14,239,1,0,0,0,20241201,2024-12-01
121,8,2,20250101,14,239,1,0,0,0,20250101,2025-01-01
122,8,2,20250201,5,149,1,0,0,0,20250201,2025-02-01
123,8,2,20250301,18,279,1,0,0,0,20250301,2025-03-01
124,8,2,20250401,19,289,1,0,0,0,20250401,2025-04-01
125,8,2,20250501,14,239,1,0,0,0,20250501,2025-05-01
126,8,2,20250601,17,269,1,0,0,0,20250601,2025-06-01
127,8,2,20250701,15,249,1,0,0,0,20250701,2025-07-01
128,8,2,20250801,7,169,1,0,0,0,20250801,2025-08-01
129,8,2,20250901,20,299,1,0,0,0,20250901,2025-09-01
130,8,2,20251001,10,199,1,0,0,0,20251001,2025-10-01
131,8,2,20251101,14,239,1,0,0,0,20251101,2025-11-01
132,8,2,20251201,16,259,1,0,0,0,20251201,2025-12-01
133,8,2,20260101,15,249,1,0,0,0,20260101,2026-01-01
134,8,2,20260201,14,239,1,0,0,0,20260201,2026-02-01
135,8,2,20260301,10,199,1,0,0,0,20260301,2026-03-01
136,8,2,20260401,20,299,1,0,0,0,20260401,2026-04-01
137,8,2,20260501,17,269,1,0,0,0,20260501,2026-05-01
138,8,2,20260601,20,299,1,0,0,0,20260601,2026-06-01
139,8,2,20260701,15,249,1,0,0,0,20260701,2026-07-01
140,8,2,20260801,16,259,1,0,0,0,20260801,2026-08-01
141,8,2,20260901,13,229,1,0,0,0,20260901,2026-09-01
142,8,2,20261001,8,179,1,0,0,0,20261001,2026-10-01
143,8,2,20261101,20,299,1,0,0,0,20261101,2026-11-01
144,8,2,20261201,14,239,1,0,0,0,20261201,2026-12-01
145,9,2,20230601,405,4149,1,0,1,0,20230601,2023-06-01
146,9,2,20230701,334,3439,1,0,0,0,20230701,2023-07-01
147,9,2,20230801,478,4879,1,0,0,0,20230801,2023-08-01
148,9,2,20230901,483,4929,1,0,0,0,20230901,2023-09-01
149,9,2,20231001,374,3839,1,0,0,0,20231001,2023-10-01
150,9,2,20231101,293,3029,1,0,0,0,20231101,2023-11-01
151,9,2,20231201,314,3239,1,0,0,0,20231201,2023-12-01
152,9,2,20240101,359,3689,1,0,0,0,20240101,2024-01-01
153,9,2,20240201,455,4649,1,0,0,0,20240201,2024-02-01
154,9,2,20240301,304,3139,1,0,0,0,20240301,2024-03-01
155,9,2,20240401,428,4379,1,0,0,0,20240401,2024-04-01
156,9,2,20240501,197,2069,1,0,0,0,20240501,2024-05-01
157,9,2,20240601,432,4419,1,0,0,0,20240601,2024-06-01
158,9,2,20240701,400,4099,1,0,1,1,20240701,2024-07-01
159,9,2,20240801,183,1929,1,0,0,0,20240801,2024-08-01
160,9,2,20240901,167,1769,1,0,0,0,20240901,2024-09-01
161,9,2,20241001,419,4289,1,0,0,0,20241001,2024-10-01
162,9,2,20241101,394,4039,1,0,0,0,20241101,2024-11-01
163,9,2,20241201,271,2809,1,0,0,0,20241201,2024-12-01
164,9,2,20250101,383,3929,1,0,0,0,20250101,2025-01-01
165,9,2,20250201,217,2269,1,0,0,0,20250201,2025-02-01
166,9,2,20250301,157,1669,1,0,0,0,20250301,2025-03-01
167,9,2,20250401,310,3199,1,0,0,0,20250401,2025-04-01
168,9,2,20250501,241,2509,1,0,0,0,20250501,2025-05-01
169,9,2,20250601,357,3669,1,0,0,0,20250601,2025-06-01
170,9,2,20250701,319,3289,1,0,1,1,20250701,2025-07-01
171,9,2,20250801,433,4429,1,0,0,0,20250801,2025-08-01
172,9,2,20250901,369,3789,1,0,0,0,20250901,2025-09-01
173,9,2,20251001,468,4779,1,0,0,0,20251001,2025-10-01
174,9,2,20251101,225,2349,1,0,0,0,20251101,2025-11-01
175,9,2,20251201,487,4969,1,0,0,0,20251201,2025-12-01
176,9,2,20260101,108,1179,1,0,0,0,20260101,2026-01-01
177,9,2,20260201,125,1349,1,0,0,0,20260201,2026-02-01
178,9,2,20260301,246,2559,1,0,0,0,20260301,2026-03-01
179,9,2,20260401,481,4909,1,0,0,0,20260401,2026-04-01
180,9,2,20260501,305,3149,1,0,0,0,20260501,2026-05-01
181,9,2,20260601,405,4149,1,0,0,0,20260601,2026-06-01
182,9,2,20260701,457,4669,1,0,0,0,20260701,2026-07-01
183,9,2,20260801,206,2159,1,0,0,0,20260801,2026-08-01
184,9,2,20260901,293,3029,1,0,0,0,20260901,2026-09-01
185,9,2,20261001,494,5039,1,0,0,0,20261001,2026-10-01
186,9,2,20261101,494,5039,1,0,0,0,20261101,2026-11-01
187,9,2,20261201,318,3279,1,0,0,0,20261201,2026-12-01
188,10,1,20240801,7,84,1,0,0,0,20240801,2024-08-01
189,10,1,20240901,13,114,1,0,0,0,20240901,2024-09-01
190,10,1,20241001,18,139,1,0,0,0,20241001,2024-10-01
191,10,1,20241101,20,149,1,0,0,0,20241101,2024-11-01
192,10,1,20241201,13,114,1,0,0,0,20241201,2024-12-01
193,10,1,20250101,19,144,1,0,0,0,20250101,2025-01-01
194,10,1,20250201,10,99,1,0,0,0,20250201,2025-02-01
195,10,2,20250301,14,239,1,0,1,0,20250301,2025-03-01
196,10,2,20250401,16,259,1,0,0,0,20250401,2025-04-01
197,10,2,20250501,5,149,1,0,0,0,20250501,2025-05-01
198,10,2,20250601,15,249,1,0,0,0,20250601,2025-06-01
199,10,2,20250701,19,289,1,0,0,0,20250701,2025-07-01
200,10,2,20250801,7,169,1,0,0,0,20250801,2025-08-01
201,10,2,20250901,7,169,1,0,0,0,20250901,2025-09-01
202,10,2,20251001,8,179,1,0,0,0,20251001,2025-10-01
203,10,2,20251101,10,199,1,0,0,0,20251101,2025-11-01
204,10,2,20251201,8,179,0,1,0,0,20251201,2025-12-01
205,11,1,20251101,6,79,1,0,0,0,20251101,2025-11-01
206,11,1,20251201,11,104,1,0,0,0,20251201,2025-12-01
207,11,1,20260101,13,114,1,0,0,0,20260101,2026-01-01
208,11,1,20260201,6,79,0,1,0,0,20260201,2026-02-01
209,12,1,20250601,14,119,1,0,0,0,20250601,2025-06-01
210,12,1,20250701,9,94,1,0,0,0,20250701,2025-07-01
211,12,1,20250801,8,89,1,0,0,0,20250801,2025-08-01
212,12,1,20250901,14,119,1,0,0,0,20250901,2025-09-01
213,12,2,20251001,13,229,1,0,1,0,20251001,2025-10-01
214,12,2,20251101,10,199,1,0,0,0,20251101,2025-11-01
215,12,2,20251201,6,159,1,0,0,0,20251201,2025-12-01
216,12,2,20260101,16,259,1,0,0,0,20260101,2026-01-01
217,12,2,20260201,17,269,1,0,0,0,20260201,2026-02-01
218,12,2,20260301,18,279,1,0,0,0,20260301,2026-03-01
219,12,2,20260401,10,199,0,1,0,0,20260401,2026-04-01
220,13,1,20250701,8,89,1,0,0,0,20250701,2025-07-01
221,13,1,20250801,11,104,1,0,0,0,20250801,2025-08-01
222,13,1,20250901,12,109,1,0,0,0,20250901,2025-09-01
223,13,1,20251001,7,84,1,0,0,0,20251001,2025-10-01
224,13,1,20251101,15,124,1,0,0,0,20251101,2025-11-01
225,13,1,20251201,13,114,1,0,0,0,20251201,2025-12-01
226,13,2,20260101,17,269,1,0,1,0,20260101,2026-01-01
227,13,2,20260201,13,229,1,0,0,0,20260201,2026-02-01
228,13,2,20260301,19,289,1,0,0,0,20260301,2026-03-01
229,13,2,20260401,5,149,1,0,0,0,20260401,2026-04-01
230,13,2,20260501,19,289,1,0,0,0,20260501,2026-05-01
231,13,2,20260601,8,179,1,0,0,0,20260601,2026-06-01
232,13,2,20260701,10,199,1,0,0,0,20260701,2026-07-01
233,13,3,20260801,16,519,1,0,1,0,20260801,2026-08-01
234,13,3,20260901,18,559,1,0,0,0,20260901,2026-09-01
235,13,3,20261001,10,399,1,0,0,0,20261001,2026-10-01
236,13,3,20261101,13,459,1,0,0,0,20261101,2026-11-01
237,13,3,20261201,19,579,1,0,0,0,20261201,2026-12-01
238,14,1,20230901,19,144,1,0,0,0,20230901,2023-09-01
239,14,1,20231001,12,109,1,0,0,0,20231001,2023-10-01
240,14,1,20231101,5,74,1,0,0,0,20231101,2023-11-01
241,14,1,20231201,17,134,1,0,0,0,20231201,2023-12-01
242,14,1,20240101,17,134,1,0,0,0,20240101,2024-01-01
243,14,1,20240201,14,119,1,0,0,0,20240201,2024-02-01
244,14,1,20240301,7,84,1,0,0,0,20240301,2024-03-01
245,14,1,20240401,8,89,1,0,0,0,20240401,2024-04-01
246,14,1,20240501,17,134,1,0,0,0,20240501,2024-05-01
247,14,1,20240601,7,84,1,0,0,0,20240601,2024-06-01
248,14,2,20240701,9,189,1,0,1,0,20240701,2024-07-01
249,14,2,20240801,14,239,1,0,0,0,20240801,2024-08-01
250,14,2,20240901,11,209,1,0,0,0,20240901,2024-09-01
251,14,2,20241001,12,219,1,0,0,0,20241001,2024-10-01
252,14,2,20241101,15,249,1,0,0,0,20241101,2024-11-01
253,14,2,20241201,11,209,1,0,0,0,20241201,2024-12-01
254,14,2,20250101,19,289,1,0,0,0,20250101,2025-01-01
255,14,2,20250201,11,209,1,0,0,0,20250201,2025-02-01
256,14,2,20250301,14,239,1,0,0,0,20250301,2025-03-01
257,14,2,20250401,13,229,1,0,0,0,20250401,2025-04-01
258,14,2,20250501,19,289,1,0,0,0,20250501,2025-05-01
259,14,2,20250601,8,179,1,0,0,0,20250601,2025-06-01
260,14,2,20250701,18,279,1,0,0,0,20250701,2025-07-01
261,14,2,20250801,18,279,1,0,0,0,20250801,2025-08-01
262,14,2,20250901,19,289,1,0,0,0,20250901,2025-09-01
263,14,2,20251001,5,149,1,0,0,0,20251001,2025-10-01
264,14,2,20251101,17,269,1,0,0,0,20251101,2025-11-01
265,14,2,20251201,8,179,1,0,0,0,20251201,2025-12-01
266,14,2,20260101,6,159,1,0,0,0,20260101,2026-01-01
267,14,2,20260201,6,159,1,0,0,0,20260201,2026-02-01
268,14,2,20260301,6,159,1,0,0,0,20260301,2026-03-01
269,14,2,20260401,18,279,1,0,0,0,20260401,2026-04-01
270,14,2,20260501,11,209,1,0,0,0,20260501,2026-05-01
271,14,2,20260601,13,229,1,0,0,0,20260601,2026-06-01
272,14,2,20260701,6,159,1,0,0,0,20260701,2026-07-01
273,14,2,20260801,8,179,0,1,0,0,20260801,2026-08-01
274,15,1,20241001,173,914,1,0,0,0,20241001,2024-10-01
275,15,1,20241101,295,1524,1,0,0,0,20241101,2024-11-01
276,15,1,20241201,215,1124,1,0,0,0,20241201,2024-12-01
277,15,1,20250101,121,654,1,0,0,0,20250101,2025-01-01
278,15,1,20250201,361,1854,1,0,0,0,20250201,2025-02-01
279,15,1,20250301,254,1319,1,0,0,0,20250301,2025-03-01
280,15,1,20250401,228,1189,1,0,0,0,20250401,2025-04-01
281,15,1,20250501,234,1219,1,0,0,0,20250501,2025-05-01
282,15,1,20250601,130,699,1,0,0,0,20250601,2025-06-01
283,15,1,20250701,396,2029,1,0,0,0,20250701,2025-07-01
284,15,1,20250801,466,2379,1,0,0,0,20250801,2025-08-01
285,15,1,20250901,464,2369,1,0,0,0,20250901,2025-09-01
286,15,1,20251001,177,934,1,0,0,0,20251001,2025-10-01
287,15,1,20251101,368,1889,1,0,0,0,20251101,2025-11-01
288,15,1,20251201,324,1669,1,0,0,0,20251201,2025-12-01
289,15,1,20260101,289,1494,1,0,0,0,20260101,2026-01-01
290,15,1,20260201,416,2129,1,0,0,0,20260201,2026-02-01
291,15,1,20260301,187,984,1,0,0,0,20260301,2026-03-01
292,15,1,20260401,435,2224,1,0,0,0,20260401,2026-04-01
293,15,1,20260501,453,2314,1,0,0,0,20260501,2026-05-01
294,15,1,20260601,218,1139,1,0,0,0,20260601,2026-06-01
295,15,1,20260701,386,1979,1,0,0,0,20260701,2026-07-01
296,15,1,20260801,102,559,1,0,0,0,20260801,2026-08-01
297,15,1,20260901,359,1844,1,0,0,0,20260901,2026-09-01
298,15,1,20261001,371,1904,1,0,0,0,20261001,2026-10-01
299,15,1,20261101,210,1099,1,0,0,0,20261101,2026-11-01
300,15,1,20261201,276,1429,1,0,0,0,20261201,2026-12-01
301,16,1,20220401,38,239,1,0,0,0,20220401,2022-04-01
302,16,1,20220501,48,289,1,0,0,0,20220501,2022-05-01
303,16,1,20220601,86,479,1,0,0,0,20220601,2022-06-01
304,16,1,20220701,23,164,1,0,0,0,20220701,2022-07-01
305,16,1,20220801,93,514,1,0,0,0,20220801,2022-08-01
306,16,1,20220901,47,284,1,0,0,0,20220901,2022-09-01
307,16,1,20221001,28,189,1,0,0,0,20221001,2022-10-01
308,16,1,20221101,95,524,1,0,0,0,20221101,2022-11-01
309,16,1,20221201,71,404,1,0,0,0,20221201,2022-12-01
310,16,1,20230101,37,234,1,0,0,0,20230101,2023-01-01
311,16,1,20230201,48,289,1,0,0,0,20230201,2023-02-01
312,16,1,20230301,76,429,1,0,0,0,20230301,2023-03-01
313,16,1,20230401,87,484,1,0,0,0,20230401,2023-04-01
314,16,1,20230501,90,499,1,0,0,0,20230501,2023-05-01
315,16,1,20230601,82,459,1,0,0,0,20230601,2023-06-01
316,16,1,20230701,65,374,1,0,0,0,20230701,2023-07-01
317,16,1,20230801,43,264,1,0,0,0,20230801,2023-08-01
318,16,1,20230901,20,149,1,0,0,0,20230901,2023-09-01
319,16,1,20231001,44,269,1,0,0,0,20231001,2023-10-01
320,16,1,20231101,83,464,1,0,0,0,20231101,2023-11-01
321,16,1,20231201,63,364,1,0,0,0,20231201,2023-12-01
322,16,1,20240101,80,449,1,0,0,0,20240101,2024-01-01
323,16,1,20240201,92,509,1,0,0,0,20240201,2024-02-01
324,16,1,20240301,79,444,1,0,0,0,20240301,2024-03-01
325,16,1,20240401,24,169,1,0,0,0,20240401,2024-04-01
326,16,1,20240501,79,444,1,0,0,0,20240501,2024-05-01
327,16,1,20240601,53,314,1,0,0,0,20240601,2024-06-01
328,16,1,20240701,74,419,1,0,0,0,20240701,2024-07-01
329,16,1,20240801,57,334,1,0,0,0,20240801,2024-08-01
330,16,1,20240901,38,239,1,0,0,0,20240901,2024-09-01
331,16,1,20241001,78,439,1,0,0,0,20241001,2024-10-01
332,16,1,20241101,35,224,0,1,0,0,20241101,2024-11-01
333,17,1,20221101,36,229,1,0,0,0,20221101,2022-11-01
334,17,1,20221201,58,339,1,0,0,0,20221201,2022-12-01
335,17,1,20230101,100,549,1,0,0,0,20230101,2023-01-01
336,17,1,20230201,45,274,1,0,0,0,20230201,2023-02-01
337,17,1,20230301,97,534,1,0,0,0,20230301,2023-03-01
338,17,1,20230401,76,429,1,0,0,0,20230401,2023-04-01
339,17,1,20230501,25,174,1,0,0,0,20230501,2023-05-01
340,17,1,20230601,51,304,1,0,0,0,20230601,2023-06-01
341,17,1,20230701,74,419,1,0,0,0,20230701,2023-07-01
342,17,1,20230801,45,274,1,0,0,0,20230801,2023-08-01
343,17,1,20230901,70,399,1,0,0,0,20230901,2023-09-01
344,17,1,20231001,59,344,1,0,0,0,20231001,2023-10-01
345,17,1,20231101,24,169,1,0,0,0,20231101,2023-11-01
346,17,1,20231201,33,214,1,0,0,0,20231201,2023-12-01
347,17,2,20240101,39,489,1,0,1,0,20240101,2024-01-01
348,17,2,20240201,31,409,1,0,0,0,20240201,2024-02-01
349,17,2,20240301,93,1029,0,1,0,0,20240301,2024-03-01
350,18,1,20250701,9,94,1,0,0,0,20250701,2025-07-01
351,18,1,20250801,11,104,1,0,0,0,20250801,2025-08-01
352,18,1,20250901,5,74,1,0,0,0,20250901,2025-09-01
353,18,1,20251001,19,144,1,0,0,0,20251001,2025-10-01
354,18,1,20251101,7,84,1,0,0,0,20251101,2025-11-01
355,18,1,20251201,17,134,1,0,0,0,20251201,2025-12-01
356,18,1,20260101,11,104,1,0,0,0,20260101,2026-01-01
357,18,1,20260201,16,129,1,0,0,0,20260201,2026-02-01
358,18,1,20260301,14,119,1,0,0,0,20260301,2026-03-01
359,18,2,20260401,5,149,1,0,1,0,20260401,2026-04-01
360,18,2,20260501,18,279,1,0,0,0,20260501,2026-05-01
361,18,2,20260601,11,209,1,0,0,0,20260601,2026-06-01
362,18,1,20260701,14,119,1,0,0,1,20260701,2026-07-01
363,18,1,20260801,13,114,1,0,0,0,20260801,2026-08-01
364,18,1,20260901,7,84,1,0,0,0,20260901,2026-09-01
365,18,1,20261001,12,109,1,0,0,0,20261001,2026-10-01
366,18,1,20261101,9,94,1,0,0,0,20261101,2026-11-01
367,18,2,20261201,13,229,1,0,1,0,20261201,2026-12-01
368,19,1,20240301,12,109,1,0,0,0,20240301,2024-03-01
369,19,1,20240401,10,99,1,0,0,0,20240401,2024-04-01
370,19,1,20240501,18,139,1,0,0,0,20240501,2024-05-01
371,19,1,20240601,12,109,1,0,0,0,20240601,2024-06-01
372,19,1,20240701,11,104,1,0,0,0,20240701,2024-07-01
373,19,1,20240801,16,129,1,0,0,0,20240801,2024-08-01
374,19,1,20240901,14,119,1,0,0,0,20240901,2024-09-01
375,19,1,20241001,8,89,1,0,0,0,20241001,2024-10-01
376,19,1,20241101,7,84,1,0,0,0,20241101,2024-11-01
377,19,1,20241201,5,74,1,0,0,0,20241201,2024-12-01
378,19,1,20250101,5,74,1,0,0,0,20250101,2025-01-01
379,19,1,20250201,12,109,1,0,0,0,20250201,2025-02-01
380,19,1,20250301,17,134,1,0,0,0,20250301,2025-03-01
381,19,1,20250401,7,84,1,0,0,0,20250401,2025-04-01
382,19,1,20250501,5,74,1,0,0,0,20250501,2025-05-01
383,19,1,20250601,14,119,1,0,0,0,20250601,2025-06-01
384,19,1,20250701,15,124,1,0,0,0,20250701,2025-07-01
385,19,1,20250801,11,104,1,0,0,0,20250801,2025-08-01
386,19,1,20250901,14,119,1,0,0,0,20250901,2025-09-01
387,19,1,20251001,6,79,1,0,0,0,20251001,2025-10-01
388,19,1,20251101,8,89,1,0,0,0,20251101,2025-11-01
389,19,1,20251201,20,149,1,0,0,0,20251201,2025-12-01
390,19,1,20260101,20,149,1,0,0,0,20260101,2026-01-01
391,19,1,20260201,11,104,1,0,0,0,20260201,2026-02-01
392,19,1,20260301,16,129,1,0,0,0,20260301,2026-03-01
393,19,1,20260401,5,74,1,0,0,0,20260401,2026-04-01
394,19,1,20260501,17,134,1,0,0,0,20260501,2026-05-01
395,19,1,20260601,10,99,1,0,0,0,20260601,2026-06-01
396,19,1,20260701,20,149,1,0,0,0,20260701,2026-07-01
397,19,1,20260801,14,119,1,0,0,0,20260801,2026-08-01
398,19,1,20260901,15,124,1,0,0,0,20260901,2026-09-01
399,19,1,20261001,6,79,1,0,0,0,20261001,2026-10-01
400,19,1,20261101,17,134,1,0,0,0,20261101,2026-11-01
401,19,1,20261201,14,119,1,0,0,0,20261201,2026-12-01
402,20,1,20250301,12,109,1,0,0,0,20250301,2025-03-01
403,20,1,20250401,11,104,1,0,0,0,20250401,2025-04-01
404,20,1,20250501,13,114,1,0,0,0,20250501,2025-05-01
405,20,1,20250601,16,129,1,0,0,0,20250601,2025-06-01
406,20,1,20250701,17,134,1,0,0,0,20250701,2025-07-01
407,20,1,20250801,7,84,1,0,0,0,20250801,2025-08-01
408,20,2,20250901,12,219,1,0,1,0,20250901,2025-09-01
409,20,2,20251001,9,189,1,0,0,0,20251001,2025-10-01
410,20,2,20251101,16,259,1,0,0,0,20251101,2025-11-01
411,20,2,20251201,5,149,1,0,0,0,20251201,2025-12-01
412,20,2,20260101,19,289,1,0,0,0,20260101,2026-01-01
413,20,2,20260201,6,159,1,0,0,0,20260201,2026-02-01
414,20,2,20260301,12,219,1,0,0,0,20260301,2026-03-01
415,20,2,20260401,6,159,1,0,0,0,20260401,2026-04-01
416,20,2,20260501,5,149,1,0,0,0,20260501,2026-05-01
417,20,2,20260601,14,239,1,0,0,0,20260601,2026-06-01
